KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth (m),Slope,Note
06_07_2017,35,SD,1,,Halichoeres margaritaceus,6,2,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Halichoeres ornatissimus,5,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Labroides dimidiatus,8,3,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Labroides dimidiatus,4,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Labroides rubrolabiatus,6,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Macropharyngodon meleagris,5,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Pseudocheilinus octotaenia,13,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Pseudocheilinus tetrataenia,7,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Pseudocheilinus tetrataenia,5,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Acanthurus leucochilus,20,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Acanthurus leucochilus,23,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Acanthurus nigricans,21,2,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Melichthys vidua,22,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Melichthys vidua,25,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Parupeneus multifasciatus,18,2,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Cephalopholis argus,22,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Cephalopholis urodeta,12,3,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Cephalopholis urodeta,13,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Cephalopholis miniata,23,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Pseudanthias bartlettorum,7,180,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Pseudanthias olivaceus,7,45,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Pseudanthias olivaceus,5,8,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Lutjanus bohar,25,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Centropyge flavissima,6,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Centropyge flavissima,8,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Chromis margaritifer,3,17,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Chromis vanderbilti,3,144,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Plectroglyphidodon dickii,6,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Plectroglyphidodon dickii,3,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Stegastes aureus,6,2,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Stegastes aureus,12,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Stegastes aureus,9,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Macropharyngodon meleagris,7,3,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Macropharyngodon meleagris,4,4,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Oxycheilinus unifasciatus,23,2,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Pseudocheilinus octotaenia,4,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Pseudocheilinus tetrataenia,4,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Chlorurus sordidus,30,2,TP,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Chlorurus sordidus,27,2,IP,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Chlorurus sordidus,24,1,IP,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Acanthurus nigricans,21,2,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Acanthurus nigricans,13,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Acanthurus nigrofuscus,22,4,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Acanthurus olivaceus,22,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Balistapus undulatus,13,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Melichthys niger,14,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Melichthys vidua,21,1,,1430,7.9,2,TRAINING NOT FOR USE
06_07_2017,35,SD,2,,Parupeneus multifasciatus,8,1,,1430,7.9,2,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Pseudanthias olivaceus,4,30,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Paracirrhites arcatus,10,2,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Lutjanus bohar,10,1,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Chromis acares,4,83,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Chromis margaritifer,4,151,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Chromis vanderbilti,1,32,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Chromis xanthura,10,10,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Chromis xanthura,12,10,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Plectroglyphidodon dickii,9,2,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Plectroglyphidodon dickii,6,1,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Plectroglyphidodon dickii,5,1,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Stegastes aureus,12,1,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Stegastes aureus,10,1,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Gomphosus varius,10,1,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Halichoeres margaritaceus,9,3,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Pseudocheilinus hexataenia,8,1,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Thalassoma amblycephalum,6,1,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Calotomus carolinus,30,1,TP,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Chlorurus sordidus,22,1,IP,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Chlorurus sordidus,20,1,IP,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Chlorurus sordidus,27,1,TP,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Chlorurus sordidus,15,1,IP,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Scarus frenatus,50,1,TP,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Scarus frenatus,25,1,IP,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Scarus rubroviolaceus,40,1,TP,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Acanthurus nigricans,20,2,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Acanthurus nigricans,11,1,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Acanthurus nigricans,15,1,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Ctenochaetus cyanocheilus,6,1,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Ctenochaetus cyanocheilus,14,3,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Ctenochaetus cyanocheilus,8,2,,1110,7.5,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Cephalopholis argus,28,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Cephalopholis argus,25,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Cephalopholis argus,18,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Chromis acares,4,115,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Chromis margaritifer,3,30,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Chromis margaritifer,5,65,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Chromis vanderbilti,4,90,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Plectroglyphidodon dickii,5,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Plectroglyphidodon dickii,6,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Gomphosus varius,15,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Halichoeres hortulanus,6,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Halichoeres margaritaceus,8,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Labroides dimidiatus,6,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Pseudocheilinus octotaenia,9,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Stethojulis bandanensis,8,11,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Thalassoma amblycephalum,6,7,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Thalassoma amblycephalum,3,29,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Calotomus carolinus,31,1,TP,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Chlorurus sordidus,21,1,IP,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Chlorurus sordidus,25,1,TP,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Chlorurus sordidus,26,1,TP,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Chlorurus sordidus,22,1,IP,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Chlorurus sordidus,12,1,IP,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Scarus rubroviolaceus,45,1,TP,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Acanthurus nigricans,18,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Acanthurus nigricans,12,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Acanthurus nigricans,10,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Pseudodax moluccanus,20,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Ctenochaetus striatus,17,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Ctenochaetus striatus,16,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Ctenochaetus striatus,9,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Melichthys vidua,22,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,2,,Melichthys vidua,20,1,,1133,9.1,1,TRAINING NOT FOR USE
07_07_2017,5,SD,3,,Cephalopholis argus,30,1,,1156,9,1,TRAINING NOT FOR USE
07_07_2017,5,SD,3,,Cephalopholis argus,27,1,,1156,9,1,TRAINING NOT FOR USE
07_07_2017,5,SD,3,,Lutjanus bohar,22,1,,1156,9,1,TRAINING NOT FOR USE
07_07_2017,5,SD,3,,Aphareus furca,25,1,,1156,9,1,TRAINING NOT FOR USE
07_07_2017,5,SD,3,,Aphareus furca,27,1,,1156,9,1,TRAINING NOT FOR USE
07_07_2017,5,SD,3,,Chlorurus sordidus,20,1,IP,1156,9,1,TRAINING NOT FOR USE
07_07_2017,5,SD,3,,Chlorurus sordidus,20,1,IP,1156,9,1,TRAINING NOT FOR USE
07_07_2017,5,SD,3,,Chlorurus sordidus,22,1,IP,1156,9,1,TRAINING NOT FOR USE
07_07_2017,5,SD,3,,Acanthurus blochii,22,1,,1156,9,1,TRAINING NOT FOR USE
07_07_2017,5,SD,1,,Pseudanthias olivaceus,5,45,,1350,9,1,
07_07_2017,5,SD,1,,Pseudanthias olivaceus,8,10,,1350,9,1,
07_07_2017,5,SD,1,,Cephalopholis argus,35,1,,1350,9,1,
07_07_2017,5,SD,1,,Cephalopholis urodeta,14,1,,1350,9,1,
07_07_2017,5,SD,1,,Oxycheilinus diagrammus,23,1,,1350,9,1,
07_07_2017,5,SD,1,,Centropyge loricula,6,1,,1350,9,1,
07_07_2017,5,SD,1,,Centropyge loricula,7,1,,1350,9,1,
07_07_2017,5,SD,1,,Chromis acares,4,95,,1350,9,1,
07_07_2017,5,SD,1,,Chromis margaritifer,4,50,,1350,9,1,
07_07_2017,5,SD,1,,Chromis margaritifer,5,4,,1350,9,1,
07_07_2017,5,SD,1,,Chromis vanderbilti,4,50,,1350,9,1,
07_07_2017,5,SD,1,,Chromis xanthura,12,36,,1350,9,1,
07_07_2017,5,SD,1,,Gomphosus varius,4,1,,1350,9,1,
07_07_2017,5,SD,1,,Gomphosus varius,6,1,,1350,9,1,
07_07_2017,5,SD,1,,Thalassoma amblycephalum,7,1,,1350,9,1,
07_07_2017,5,SD,1,,Calotomus carolinus,28,1,TP,1350,9,1,
07_07_2017,5,SD,1,,Chlorurus sordidus,10,1,IP,1350,9,1,
07_07_2017,5,SD,1,,Scarus frenatus,25,1,IP,1350,9,1,
07_07_2017,5,SD,1,,Scarus frenatus,37,1,TP,1350,9,1,
07_07_2017,5,SD,1,,Scarus psittacus,20,1,TP,1350,9,1,
07_07_2017,5,SD,1,,Acanthurus nigricans,20,2,,1350,9,1,
07_07_2017,5,SD,1,,Acanthurus nigricans,13,1,,1350,9,1,
07_07_2017,5,SD,1,,Acanthurus nigricans,19,1,,1350,9,1,
07_07_2017,5,SD,1,,Ctenochaetus cyanocheilus,13,1,,1350,9,1,
07_07_2017,5,SD,1,,Ctenochaetus cyanocheilus,10,1,,1350,9,1,
07_07_2017,5,SD,1,,Ctenochaetus cyanocheilus,14,1,,1350,9,1,
07_07_2017,5,SD,1,,Ctenochaetus striatus,14,2,,1350,9,1,
07_07_2017,5,SD,1,,Ctenochaetus striatus,10,1,,1350,9,1,
07_07_2017,5,SD,1,,Zebrasoma scopas,12,1,,1350,9,1,
07_07_2017,5,SD,2,,Paracirrhites hemistictus,13,1,,1412,10,1,
07_07_2017,5,SD,2,,Centropyge loricula,8,1,,1412,10,1,
07_07_2017,5,SD,2,,Centropyge flavissima,7,1,,1412,10,1,
07_07_2017,5,SD,2,,Chromis acares,4,96,,1412,10,1,
07_07_2017,5,SD,2,,Chromis margaritifer,3,52,,1412,10,1,
07_07_2017,5,SD,2,,Chromis margaritifer,5,10,,1412,10,1,
07_07_2017,5,SD,2,,Chromis vanderbilti,4,70,,1412,10,1,
07_07_2017,5,SD,2,,Plectroglyphidodon dickii,5,1,,1412,10,1,
07_07_2017,5,SD,2,,Stegastes aureus,10,1,,1412,10,1,
07_07_2017,5,SD,2,,Halichoeres hortulanus,21,1,,1412,10,1,
07_07_2017,5,SD,2,,Halichoeres hortulanus,8,1,,1412,10,1,
07_07_2017,5,SD,2,,Labroides dimidiatus,6,2,,1412,10,1,
07_07_2017,5,SD,2,,Labroides dimidiatus,8,1,,1412,10,1,
07_07_2017,5,SD,2,,Macropharyngodon meleagris,11,1,,1412,10,1,
07_07_2017,5,SD,2,,Oxycheilinus unifasciatus,26,1,,1412,10,1,
07_07_2017,5,SD,2,,Pseudocheilinus hexataenia,6,1,,1412,10,1,
07_07_2017,5,SD,2,,Thalassoma amblycephalum,5,4,,1412,10,1,
07_07_2017,5,SD,2,,Thalassoma amblycephalum,7,19,,1412,10,1,
07_07_2017,5,SD,2,,Thalassoma quinquevittatum,8,2,,1412,10,1,
07_07_2017,5,SD,2,,Calotomus carolinus,23,1,IP,1412,10,1,
07_07_2017,5,SD,2,,Chlorurus sordidus,30,1,TP,1412,10,1,
07_07_2017,5,SD,2,,Chlorurus sordidus,21,1,IP,1412,10,1,
07_07_2017,5,SD,2,,Chlorurus sordidus,15,1,,1412,10,1,
07_07_2017,5,SD,2,,Scarus frenatus,26,1,,1412,10,1,
07_07_2017,5,SD,2,,Scarus frenatus,33,1,TP,1412,10,1,
07_07_2017,5,SD,2,,Acanthurus nigricans,21,1,,1412,10,1,
07_07_2017,5,SD,2,,Acanthurus nigricans,22,1,,1412,10,1,
07_07_2017,5,SD,2,,Acanthurus nigricans,12,1,,1412,10,1,
07_07_2017,5,SD,2,,Acanthurus nigricans,16,1,,1412,10,1,
07_07_2017,5,SD,2,,Ctenochaetus striatus,15,3,,1412,10,1,
07_07_2017,5,SD,2,,Ctenochaetus striatus,12,2,,1412,10,1,
07_07_2017,5,SD,2,,Ctenochaetus striatus,10,1,,1412,10,1,
07_07_2017,5,SD,2,,Ctenochaetus striatus,13,1,,1412,10,1,
07_07_2017,5,SD,2,,Ctenochaetus striatus,17,1,,1412,10,1,
07_07_2017,5,SD,2,,Melichthys vidua,22,1,,1412,10,1,
07_07_2017,5,SD,3,,Cephalopholis argus,26,1,,1429,10,1,
07_07_2017,5,SD,3,,Cephalopholis argus,30,1,,1429,10,1,
07_07_2017,5,SD,3,,Cephalopholis argus,26,1,,1429,10,1,
07_07_2017,5,SD,3,,Cephalopholis argus,17,1,,1429,10,1,
07_07_2017,5,SD,3,,Cephalopholis urodeta,14,1,,1429,10,1,
07_07_2017,5,SD,3,,Pseudanthias olivaceus,4,1,,1429,10,1,
07_07_2017,5,SD,3,,Paracirrhites forsteri,9,1,,1429,10,1,
07_07_2017,5,SD,3,,Paracirrhites hemistictus,18,1,,1429,10,1,
07_07_2017,5,SD,3,,Monotaxis grandoculis,21,1,,1429,10,1,
07_07_2017,5,SD,3,,Chromis acares,4,28,,1429,10,1,
07_07_2017,5,SD,3,,Chromis margaritifer,4,60,,1429,10,1,
07_07_2017,5,SD,3,,Chromis margaritifer,2,26,,1429,10,1,
07_07_2017,5,SD,3,,Chromis vanderbilti,4,59,,1429,10,1,
07_07_2017,5,SD,3,,Chromis xanthura,12,13,,1429,10,1,
07_07_2017,5,SD,3,,Chromis xanthura,10,4,,1429,10,1,
07_07_2017,5,SD,3,,Chromis xanthura,8,2,,1429,10,1,
07_07_2017,5,SD,3,,Stegastes aureus,10,1,,1429,10,1,
07_07_2017,5,SD,3,,Gomphosus varius,7,1,,1429,10,1,
07_07_2017,5,SD,3,,Halichoeres ornatissimus,9,1,,1429,10,1,
07_07_2017,5,SD,3,,Labroides bicolor,8,1,,1429,10,1,
07_07_2017,5,SD,3,,Labroides bicolor,5,1,,1429,10,1,
07_07_2017,5,SD,3,,Labroides rubrolabiatus,4,1,,1429,10,1,
07_07_2017,5,SD,3,,Labroides rubrolabiatus,6,2,,1429,10,1,
07_07_2017,5,SD,3,,Pseudocheilinus octotaenia,9,1,,1429,10,1,
07_07_2017,5,SD,3,,Pseudocheilinus octotaenia,6,1,,1429,10,1,
07_07_2017,5,SD,3,,Stethojulis bandanensis,8,1,,1429,10,1,
07_07_2017,5,SD,3,,Thalassoma amblycephalum,6,1,,1429,10,1,
07_07_2017,5,SD,3,,Thalassoma amblycephalum,4,20,,1429,10,1,
07_07_2017,5,SD,3,,Calotomus carolinus,30,1,TP,1429,10,1,
07_07_2017,5,SD,3,,Calotomus carolinus,25,1,TP,1429,10,1,
07_07_2017,5,SD,3,,Chlorurus sordidus,27,1,TP,1429,10,1,
07_07_2017,5,SD,3,,Chlorurus sordidus,22,1,IP,1429,10,1,
07_07_2017,5,SD,3,,Chlorurus sordidus,23,1,IP,1429,10,1,
07_07_2017,5,SD,3,,Chlorurus sordidus,21,1,IP,1429,10,1,
07_07_2017,5,SD,3,,Chlorurus sordidus,29,1,TP,1429,10,1,
07_07_2017,5,SD,3,,Chlorurus sordidus,11,4,IP,1429,10,1,
07_07_2017,5,SD,3,,Chlorurus sordidus,18,1,IP,1429,10,1,
07_07_2017,5,SD,3,,Scarus frenatus,8,1,juv,1429,10,1,
07_07_2017,5,SD,3,,Scarus frenatus,6,2,juv,1429,10,1,
07_07_2017,5,SD,3,,Acanthurus nigricans,17,1,,1429,10,1,
07_07_2017,5,SD,3,,Ctenochaetus marginatus,12,1,,1429,10,1,
07_07_2017,5,SD,3,,Ctenochaetus marginatus,11,2,,1429,10,1,
07_07_2017,5,SD,3,,Ctenochaetus marginatus,16,1,,1429,10,1,
07_07_2017,5,SD,3,,Ctenochaetus marginatus,14,2,,1429,10,1,
07_07_2017,5,SD,3,,Melichthys niger,21,1,,1429,10,1,
07_07_2017,5,SD,3,,Parupeneus insularis,18,2,,1429,10,1,
07_07_2017,5,SD,3,,Cirripectes variolosus,6,1,,1429,10,1,
08_07_2017,38,SD,1,,Cephalopholis argus,27,1,,820,10,1,
08_07_2017,38,SD,1,,Cephalopholis urodeta,14,1,,820,10,1,
08_07_2017,38,SD,1,,Cephalopholis urodeta,12,1,,820,10,1,
08_07_2017,38,SD,1,,Epinephelus fasciatus,15,1,,820,10,1,
08_07_2017,38,SD,1,,Lutjanus bohar,22,1,,820,10,1,
08_07_2017,38,SD,1,,Lutjanus bohar,70,1,,820,10,1,
08_07_2017,38,SD,1,,Centropyge flavissima,6,2,,820,10,1,
08_07_2017,38,SD,1,,Chromis margaritifer,5,7,,820,10,1,
08_07_2017,38,SD,1,,Chromis vanderbilti,3,115,,820,10,1,
08_07_2017,38,SD,1,,Chromis vanderbilti,2,145,,820,10,1,
08_07_2017,38,SD,1,,Plectroglyphidodon dickii,6,3,,820,10,1,
08_07_2017,38,SD,1,,Stegastes aureus,8,2,,820,10,1,
08_07_2017,38,SD,1,,Stegastes aureus,5,1,,820,10,1,
08_07_2017,38,SD,1,,Stegastes aureus,6,1,,820,10,1,
08_07_2017,38,SD,1,,Stegastes aureus,7,1,,820,10,1,
08_07_2017,38,SD,1,,Coris gaimard,6,1,,820,10,1,
08_07_2017,38,SD,1,,Gomphosus varius,8,1,,820,10,1,
08_07_2017,38,SD,1,,Halichoeres hortulanus,17,1,,820,10,1,
08_07_2017,38,SD,1,,Halichoeres hortulanus,9,1,,820,10,1,
08_07_2017,38,SD,1,,Halichoeres hortulanus,18,1,,820,10,1,
08_07_2017,38,SD,1,,Halichoeres ornatissimus,8,1,,820,10,1,
08_07_2017,38,SD,1,,Halichoeres ornatissimus,6,1,,820,10,1,
08_07_2017,38,SD,1,,Labroides dimidiatus,6,1,,820,10,1,
08_07_2017,38,SD,1,,Macropharyngodon meleagris,5,1,,820,10,1,
08_07_2017,38,SD,1,,Macropharyngodon meleagris,3,1,,820,10,1,
08_07_2017,38,SD,1,,Macropharyngodon meleagris,2,2,,820,10,1,
08_07_2017,38,SD,1,,Pseudocheilinus octotaenia,6,1,,820,10,1,
08_07_2017,38,SD,1,,Pseudocheilinus octotaenia,5,1,,820,10,1,
08_07_2017,38,SD,1,,Thalassoma amblycephalum,3,24,,820,10,1,
08_07_2017,38,SD,1,,Pseudocheilinus octotaenia,6,1,,820,10,1,
08_07_2017,38,SD,1,,Pseudocheilinus octotaenia,6,5,,820,10,1,
08_07_2017,38,SD,1,,Thalassoma amblycephalum,3,24,,820,10,1,
08_07_2017,38,SD,1,,Thalassoma quinquevittatum,9,1,,820,10,1,
08_07_2017,38,SD,1,,Acanthurus lineatus,22,2,,820,10,1,
08_07_2017,38,SD,1,,Acanthurus lineatus,25,1,,820,10,1,
08_07_2017,38,SD,1,,Acanthurus lineatus,24,2,,820,10,1,
08_07_2017,38,SD,1,,Acanthurus lineatus,20,1,,820,10,1,
08_07_2017,38,SD,1,,Parupeneus multifasciatus,12,1,,820,10,1,
08_07_2017,38,SD,1,,Parupeneus multifasciatus,7,1,,820,10,1,
08_07_2017,38,SD,2,,Paracirrhites arcatus,11,1,,838,10,1,
08_07_2017,38,SD,2,,Chromis margaritifer,4,4,,838,10,1,
08_07_2017,38,SD,2,,Chromis vanderbilti,3,111,,838,10,1,
08_07_2017,38,SD,2,,Chromis vanderbilti,2,12,,838,10,1,
08_07_2017,38,SD,2,,Plectroglyphidodon dickii,6,3,,838,10,1,
08_07_2017,38,SD,2,,Stegastes aureus,5,1,,838,10,1,
08_07_2017,38,SD,2,,Stegastes aureus,6,1,,838,10,1,
08_07_2017,38,SD,2,,Stegastes aureus,9,2,,838,10,1,
08_07_2017,38,SD,2,,Stegastes fasciolatus,10,1,,838,10,1,
